fips,lgbm_mae,lgbm_rmse,lgbm_wape,actual,predicted,county_name,stateabbr,risk_tier,prophet_mae,prophet_rmse,prophet_wape,winner,wape_diff
04017,0.0017907168935427098,0.0017907168935427098,0.0034590866701352963,0.5176848874598071,0.5158941705662644,Navajo,AZ,High,0.0242106410571577,0.0242106410571577,0.0467671389364971,LightGBM,0.04330805226636181
04019,0.01494849658948666,0.01494849658948666,0.04743859631969747,0.315112540192926,0.30016404360343935,Pima,AZ,Moderate,0.030410788068925,0.030410788068925,0.0965077049942415,LightGBM,0.049069108674544025
04021,0.007971896425186586,0.007971896425186586,0.02083411586750444,0.38263665594855306,0.3746647595233665,Pinal,AZ,Moderate,0.0260405223281948,0.0260405223281948,0.0680554827232655,LightGBM,0.04722136685576106
04023,0.00791372270322982,0.00791372270322982,0.016299124243075988,0.4855305466237942,0.47761682392056437,Santa Cruz,AZ,Moderate,0.0143746528880445,0.0143746528880445,0.0296060731667672,LightGBM,0.013306948923691213
04025,0.009987952303143033,0.009987952303143033,0.023894255125211414,0.41800643086816713,0.4080184785650241,Yavapai,AZ,Moderate,0.0026889164191055,0.0026889164191055,0.0064327154333985,Prophet,-0.017461539691812914
04027,0.00010239791585969771,0.00010239791585969771,0.00021962587470597235,0.46623794212218644,0.46613554420632675,Yuma,AZ,Moderate,0.0489965611575562,0.0489965611575562,0.105089176,LightGBM,0.10486955012529403
05001,0.002136112715657723,0.002136112715657723,0.004178182733141837,0.5112540192926044,0.5133901320082621,Arkansas,AR,High,0.0001908293719574,0.0001908293719574,0.0003732574508098,Prophet,-0.003804925282332037
05003,0.014662189439967221,0.014662189439967221,0.022135635513736922,0.662379421221865,0.6477172317818978,Ashley,AR,High,0.038985642417906,0.038985642417906,0.0588569650095571,LightGBM,0.03672132949582018
05005,0.009887416128620763,0.009887416128620763,0.016895529758247565,0.5852090032154341,0.5753215870868134,Baxter,AR,High,0.0066265869643543,0.0066265869643543,0.0113234535489791,Prophet,-0.005572076209268464
05007,0.016876581083237002,0.016876581083237002,0.06560770896108385,0.2572347266881029,0.24035814560486587,Benton,AR,Moderate,0.0112460101895404,0.0112460101895404,0.0437188646118385,Prophet,-0.021888844349245352
05009,0.004173096993024927,0.004173096993024927,0.009473234779786514,0.44051446945337625,0.4363413724603513,Boone,AR,Moderate,0.0010398873381364,0.0010398873381364,0.0023606201617549,Prophet,-0.0071126146180316135
05011,0.005831670154892277,0.005831670154892277,0.009495546691997373,0.6141479099678456,0.6083162398129534,Bradley,AR,High,0.0265159434899209,0.0265159434899209,0.0431751750019131,LightGBM,0.03367962830991572
05013,0.0007192956981617593,0.0007192956981617593,0.0014717168561072839,0.4887459807073955,0.48802668500923374,Calhoun,AR,Moderate,0.0290714307836781,0.0290714307836781,0.0594816774587098,LightGBM,0.058009960602602516
